,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
368,1298,E.co,93.2598,,0.84221,1422671.7437,51.4117,59035.3301,0.24144,II,0.972891238
369,1219,E.co,78.8484,,0.80831,1063851.9458,53.4666,64873.9829,0.27303,II,0.85544417
370,1219,E.co,154.3524,,0.89753,1434115.5014,22.2385,287595.3711,0.76022,II,0.882957123
371,1219,E.co,149.9104,,0.61388,1294630.5617,24.1553,337255.1249,0.7974,II,1.0
372,1167,E.co,80.476,,0.91307,964432.1177,56.8339,24024.8846,0.079399,II,0.880679132
373,1167,E.co,68.2658,,0.92618,802934.7143,22.0548,315164.8747,0.79249,II,0.96778521
374,1167,E.co,81.2287,,0.89949,927301.5649,21.2543,304732.1539,0.80483,II,0.98564011
375,1339,E.co,90.0528,,0.77341,937960.1115,50.8315,317042.3934,0.77369,II,0.957163044
376,1339,E.co,86.5573,,0.70557,1197702.8226,56.0736,75377.0036,0.31767,II,0.843052121
377,1339,E.co,86.5573,,0.70557,1197702.8226,40.8594,124700.4569,0.50763,II,0.784851798
378,11285,S.au,39.225,0.30016,0.66129,379635.0927,35.2458,58993.235,0.28762,III,0.994971871
379,11285,S.au,52.9908,0.34302,0.58152,436696.8952,16.4262,14370.3589,0.088074,III,0.997774627
380,11285,S.au,49.4999,0.21501,0.72345,653403.0672,19.8751,350766.9035,0.78021,III,0.97409977
381,12048,S.au,49.2288,0.36851,0.69534,399660.4208,18.2566,292196.2298,0.75197,III,0.99423697
382,12048,S.au,139.8936,0.32468,0.26738,834937.476,20.0635,371414.627,0.84482,III,0.997120354
383,12048,S.au,139.8936,0.32468,0.26738,834937.476,20.211,332506.9906,0.76348,III,0.954837352
384,B8,S.au,63.9328,,,62191.6183,19.4814,293078.0147,0.72777,III,0.992276788
385,B8,S.au,91.6048,,,48258.0789,19.9732,303964.2707,0.76639,III,0.99963227
386,B8,S.au,60.5387,,,82300.4304,17.5344,249825.1142,0.67156,III,0.993740728
387,12701,S.au,41.8384,0.30588,0.73848,499014.7048,21.4468,5878.6291,0.034027,III,0.493752381
388,12701,S.au,54.0864,0.2576,0.68631,694422.2412,35.1505,31477.4671,0.16447,III,0.525581334
389,12701,S.au,54.0864,0.2576,0.68631,694422.2412,19.4814,293078.0147,0.72777,III,0.415829789
